户型,总价格,名字,小区,建造年代,楼层,面积,首付
        3室2厅1卫，,        240万,番禺大石,悦尚公馆,2015年,普通住宅低层(共12层)					,93平方米,72.00万                    
        3室2厅1卫，,        195万,番禺大石,富丽广场丽茗居,2002年,普通住宅低层(共6层)					,95平方米,58.50万                    
        4室2厅2卫，,        340万,番禺大石,滨江绿园,2004年,普通住宅中层(共11层)					,124平方米,102.00万                    
        2室2厅1卫，,        96万,番禺大石,天骄时代,2015年,公寓高层(共18层)					,77平方米,28.80万                    
        2室2厅1卫，,        119万,番禺大石,怡居新村,1998年,普通住宅低层(共7层)					,73平方米,35.70万                    
        2室2厅2卫，,        300万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,106平方米,90.00万                    
        2室2厅1卫，,        125万,番禺大石,番禺金山大厦,2000年,普通住宅高层(共8层)					,65平方米,37.50万                    
        2室1厅1卫，,        197万,番禺大石,中环品悦,2014年,普通住宅低层(共23层)					,78平方米,59.10万                    
        2室2厅1卫，,        152万,番禺大石,富丽家园福宁园,1998年,普通住宅中层(共8层)					,76平方米,45.60万                    
        2室2厅1卫，,        102万,番禺大石,富昌花园,1996年,普通住宅高层(共7层)					,65平方米,30.60万                    
        2室2厅1卫，,        85万,番禺大石,天骄时代,2016年,普通住宅中层(共20层)					,48平方米,25.50万                    
        5室4厅3卫，,        680万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,263平方米,204.00万                    
        2室2厅1卫，,        96万,番禺大石,天骄时代,2016年,公寓中层(共18层)					,77平方米,28.80万                    
        3室2厅1卫，,        250万,番禺大石,丽水湾,2003年,普通住宅中层(共12层)					,83平方米,75.00万                    
        3室2厅2卫，,        328万,番禺大石,富庭华园,2003年,普通住宅低层(共7层)					,100平方米,98.40万                    
        3室2厅1卫，,        110万,番禺大石,怡居新村,2005年,普通住宅共7层					,78平方米,33.00万                    
        3室2厅1卫，,        180万,番禺大石,富丽家园福宁园,1999年,普通住宅高层(共8层)					,86.5平方米,54.00万                    
        2室2厅1卫，,        145万,番禺大石,富丽广场康美居,2001年,普通住宅中层(共6层)					,68平方米,43.50万                    
